accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_0022Z5K.2,B.D,01/03/2008,Germany,Freiburg,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15124,30/08/2013,KF530266.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.99356195,,,KF530266.1,,,RSVB/Homo sapiens/DEU/115/2008,0,0
PP_0022Z6H.1,B.D,06/01/2005,United Kingdom,,"Lemon, K.; Nguyen, D. T.; Ludlow, M.; Rennick, L. J.; Yuksel, S.; van Amerongen, G.; McQuaid, S.; Rima, B. K.; de Swart, R. L.; Duprex, W. P.","Queen's University Belfast, Centre for Infection & Immunity",Homo sapiens,15277,07/12/2013,KF640637.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,KF640637.1,,,B05,0,0
PP_0022Z9B.2,B.D,31/03/2009,Italy,Pavia,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,14647,25/11/2013,KF826820.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.962225726,,,KF826820.1,,,RSVB/Homo sapiens/ITA/134/2009,0,0
PP_0022ZA9.2,B.D,2007,USA,SE Wisconsin,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15269,25/11/2013,KF826822.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.999934306,,,KF826822.1,,,RSVB/Homo sapiens/USA/629-5/2007,1,0
PP_0022ZB7.2,B.D,18/10/2004,Mexico,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15259,25/11/2013,KF826825.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,KF826825.1,,,RSVB/Homo sapiens/MEX/20/2004,0,0
PP_0022ZC5.2,B.D,13/12/2005,Mexico,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15215,25/11/2013,KF826829.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.99894889,,,KF826829.1,,,RSVB/Homo sapiens/MEX/24/2005,0,0
PP_0022ZD3.2,B.D,02/02/2009,Italy,Pavia,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15218,25/11/2013,KF826834.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.99894889,,,KF826834.1,,,RSVB/Hep2_lab/ITA/126_RSV78/2009,0,0
PP_0022ZE1.2,B.D,03/02/2009,Italy,Pavia,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15238,25/11/2013,KF826835.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.998817501,,,KF826835.1,,,RSVB/Hep2_lab/ITA/127_RSV79/2009,0,0
PP_0022ZFZ.2,B.D,25/07/2006,Argentina,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15278,25/11/2013,KF826839.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,KF826839.1,,,RSVB/Homo sapiens/ARG/187/2006,0,0
PP_0022ZGX.2,B.D,22/05/2007,Argentina,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15269,25/11/2013,KF826842.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,KF826842.1,,,RSVB/Homo sapiens/ARG/195/2007,0,0
PP_0022ZHU.2,B.D.1,07/09/2008,Mexico,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15280,25/11/2013,KF826843.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,KF826843.1,,,RSVB/Homo sapiens/MEX/51/2008,0,0
