accessionVersion;lineage;sampleCollectionDate;geoLocCountry;geoLocAdmin1;authors;authorAffiliations;hostNameScientific;length;earliestReleaseDate;accession;submissionId;groupName;dataUseTerms;dataUseTermsUrl;biosampleAccession;completeness;geoLocAdmin2;geoLocCity;insdcAccessionFull;insdcRawReadsAccession;isLabHost;specimenCollectorSampleId;totalAmbiguousNucs;totalUnknownNucs
PP_00194SS.2;A.3;1998-01-09;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15151;2011-10-23;PP_00194SS;JF920065.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9992118226600986;;;JF920065.1;;;A/WI/629-4071/98;1;0
PP_00194TQ.2;A.3;1998-01-27;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15117;2011-10-23;PP_00194TQ;JF920066.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9725451559934318;;;JF920066.1;;;A/WI/629-4111/98;6;370
PP_0019D02.2;A.3;2001-01-03;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15207;2012-11-01;PP_0019D02;JQ901447.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JQ901447.1;;;01-000312;1;0
PP_0019D10.2;A.2.1.1;2001-01-07;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15213;2012-11-01;PP_0019D10;JQ901448.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901448.1;;;01-000583;0;0
PP_0019D2Y.1;A.2.1.1;2001-01-10;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15213;2012-11-01;PP_0019D2Y;JQ901449.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JQ901449.1;;;01-000868;1;0
PP_0019D3W.1;A.2.1.1;2001-01-24;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15220;2012-11-01;PP_0019D3W;JQ901450.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901450.1;;;01-002215;0;0
PP_0019D4U.1;A.2.1;2001-01-24;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15212;2012-11-01;PP_0019D4U;JQ901451.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901451.1;;;01-002279;0;0
PP_0019D5S.1;A.3;2001-12-22;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15216;2012-11-01;PP_0019D5S;JQ901452.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JQ901452.1;;;01-031282;0;1
PP_0019D6Q.1;A.3;2002-01-03;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15216;2012-11-01;PP_0019D6Q;JQ901453.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901453.1;;;02-000110;0;0
PP_0019D7N.1;A.2.1;2002-01-04;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15212;2012-11-01;PP_0019D7N;JQ901454.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901454.1;;;02-00291;0;0
PP_0019D8L.1;A.2.1;2002-06-29;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15212;2012-11-01;PP_0019D8L;JQ901455.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901455.1;;;02-017863;0;0
PP_0019D9J.1;A.2.1.1;2003-11-25;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15211;2012-11-01;PP_0019D9J;JQ901456.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901456.1;;;03-033338;0;0
PP_0019DAG.1;A.3;2003-12-22;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15212;2012-11-01;PP_0019DAG;JQ901457.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JQ901457.1;;;03-036456;0;0
PP_0019DBE.1;A.3;2003-12-23;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15217;2012-11-01;PP_0019DBE;JQ901458.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JQ901458.1;;;03-036544;1;0
PP_0019DMT.1;A.3.1;2011-01-03;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019DMT;JX015479.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015479.1;;;11-000271;0;0
PP_0019DNR.1;A.3;2007-12-10;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15214;2012-11-01;PP_0019DNR;JX015480.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015480.1;;;07-040054;0;0
PP_0019DPP.1;A.3.1;2009-01-07;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15206;2012-11-01;PP_0019DPP;JX015481.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015481.1;;;09-000457;0;0
PP_0019DQM.1;A.3.1;2006-11-22;Belgium;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15121;2012-11-01;PP_0019DQM;JX015482.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9979638752052545;;;JX015482.1;;;BE06-6650;0;0
PP_0019DRK.1;A.3.1;2008-12-29;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15207;2012-11-01;PP_0019DRK;JX015483.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015483.1;;;08-047045;0;0
PP_0019DSH.1;A.3.1;2007-11-06;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019DSH;JX015484.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9998686371100164;;;JX015484.1;;;RSV572;2;0
PP_0019DTF.1;A.2.1;2005-01-04;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15211;2012-11-01;PP_0019DTF;JX015485.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JX015485.1;;;05-000257;1;0
PP_0019DUD.1;A.3;2005-01-05;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15212;2012-11-01;PP_0019DUD;JX015486.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015486.1;;;05-000417;0;0
PP_0019DVB.1;A.2.1.1;2006-01-02;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15211;2012-11-01;PP_0019DVB;JX015487.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015487.1;;;06-000103;0;0
PP_0019DW9.1;A.2.1;2006-01-09;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15211;2012-11-01;PP_0019DW9;JX015488.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015488.1;;;06-000827;0;0
PP_0019DX7.1;A.3.1;2007-12-03;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019DX7;JX015489.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015489.1;;;07-039193;0;0
PP_0019DY5.1;A.3.1;2007-11-19;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019DY5;JX015490.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015490.1;;;RSV597;0;0
PP_0019DZ3.1;A.3.1;2007-11-23;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019DZ3;JX015491.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015491.1;;;RSV607;0;0
PP_0019E01.1;A.3.1;2007-12-24;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019E01;JX015492.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015492.1;;;07-041785;0;0
PP_0019E1Z.1;A.3.1;2008-01-07;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019E1Z;JX015493.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015493.1;;;08-000507;0;0
PP_0019E2X.1;A.3.1;2008-01-14;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019E2X;JX015494.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015494.1;;;08-001411;0;0
PP_0019E3V.1;A.3.1;2008-11-21;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019E3V;JX015495.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015495.1;;;08-042544;0;0
PP_0019E4T.1;A.3.1;2008-11-26;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15205;2012-11-01;PP_0019E4T;JX015496.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015496.1;;;08-042735;0;0
PP_0019E5R.1;A.3.1;2008-12-06;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15206;2012-11-01;PP_0019E5R;JX015497.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015497.1;;;08-044640;0;0
PP_0019E6P.1;A.3.1;2008-12-27;Netherlands;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15202;2012-11-01;PP_0019E6P;JX015498.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015498.1;;;08-046972;0;0
PP_0019E7M.1;A.3.1;2008-10-22;Belgium;;"Tan, L.; Lemey, P.; Houspie, L.; C Viveen, M.; Jansen, N. J.; van Loon, A. M.; Wiertz, E.; van Bleek, G. M.; Martin, D. P.; Coenjaerts, F. E.; Viveen, M.; Coenjaerts, F. E. J.";University Medical Center Utrecht, Medical Microbiology;Homo sapiens;15206;2012-11-01;PP_0019E7M;JX015499.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX015499.1;;;BE08-5146;0;0
PP_0019E8K.2;A.3;2001-02-20;USA;Nashville, Tennessee;"Lorenzi, H.; Halpin, R.; Nguyen, A.; Fedorova, N.; Overton, L.; Stockwell, T.; Amedeo, P.; Bishop, B.; Chen, H.; Edworthy, P.; Gupta, N.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Shapiro, C. A.; Williams, J.; Peebles, S.; Chi, M.; Wentworth, D. E.; Moore, M. L.";J. Craig Venter Institute;Homo sapiens;15199;2012-07-02;PP_0019E8K;JX069798.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9999343185550083;;;JX069798.1;;;RSVA/human/USA/A2001-02-20/2001/GA2;1;0
PP_0019E9H.2;A.3;2001-03-13;USA;Nashville, Tennessee;"Lorenzi, H.; Halpin, R.; Nguyen, A.; Fedorova, N.; Overton, L.; Stockwell, T.; Amedeo, P.; Bishop, B.; Chen, H.; Edworthy, P.; Gupta, N.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Shapiro, C. A.; Williams, J.; Peebles, S.; Chi, M.; Wentworth, D. E.; Moore, M. L.";J. Craig Venter Institute;Homo sapiens;15193;2012-07-02;PP_0019E9H;JX069799.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;JX069799.1;;;RSVA/human/USA/A2001-03-12/2001/GA2;0;0
